OBJECTID,MunNum,FullName,ShortName,GlobalID,created_user,created_date,last_edited_user,last_edited_date,SHAPE_Length,SHAPE_Area
27,18,City of Vancouver,Vancouver,{97BF475E-5106-43AF-813A-51D4708E6B02},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,56748.0146556396,137165616.999148
28,16,City of Richmond,Richmond,{46AC0BEC-7011-4963-9604-D87EECEAD0E5},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,83279.4602395052,265410596.094563
29,5,City of Delta,Delta,{243AE7CC-3498-4C70-8DEB-D174237E681C},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,129075.693440839,388345794.825515
30,17,City of Surrey,Surrey,{23E1503C-A3DD-4AC6-8656-73EBBDE33CF7},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,95262.8833405948,364997346.465636
31,20,City of White Rock,White Rock,{7570D674-6E6A-4DEA-831C-254AF43C768C},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,16112.286258646,14304043.8243927
32,9,Township of Langley,Langley Township,{7C7E5179-876E-48A0-8BBD-4B5B3B29B710},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,81956.879980535,317236496.597527
33,8,City of Langley,Langley City,{92DB91FB-EBF6-4D75-A723-B6FEC5CF5C3A},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,14318.8321210463,10238849.9881778
34,26,City of Maple Ridge,Maple Ridge,{7DC8A2AA-3B33-41FF-8753-A398C54EB37F},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,80096.7263544047,286858961.676503
35,24,City of Pitt Meadows,Pitt Meadows,{020590EE-E120-4491-8E04-2D632FC19B6C},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,56729.958212238,96251340.7733426
36,6,Electoral Area A,Electoral Area A,{E7D06025-E8E1-4FBD-ADC9-563B15F79F37},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,12466.9158978041,8356363.69894794
37,14,City of Port Coquitlam,Port Coquitlam,{BBFDAEF2-0931-4904-A832-D550DCAF4FF7},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,30493.1236941266,34680541.504586
38,4,City of Coquitlam,Coquitlam,{21B3B1EB-3343-4F6B-B788-A3CF4CC17C21},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,70446.4289320866,129593529.059145
39,6,Electoral Area A,Electoral Area A,{119803B3-9354-4A09-AA66-972A92372616},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,1233.96547778547,47938.9565814906
40,11,City of New Westminster,New Westminster,{193A80CE-F124-4D6D-9E79-ADBE8B9AE931},mvagoladmin,2023/10/27 23:19:44+00,mvagoladmin,2023/10/27 23:19:44+00,20732.5688311037,18307050.5915583
